date,station,max_temperature
2010-01-01,82138,32.3
2010-01-02,82138,28.5
2010-01-03,82138,27.6
2010-01-04,82138,32.1
2010-01-05,82138,35.0
2010-01-06,82138,34.0
2010-01-07,82138,33.6
2010-01-08,82138,35.9
2010-01-09,82138,40.8
2010-01-10,82138,42.7
2010-01-11,82138,42.6
2010-01-12,82138,43.4
2010-01-13,82138,22.3
2010-01-14,82138,32.2
2010-01-15,82138,35.3
2010-01-16,82138,36.8
2010-01-17,82138,25.1
2010-01-18,82138,22.4
2010-01-19,82138,25.2
2010-01-20,82138,33.5
2010-01-21,82138,37.8
2010-01-22,82138,42.0
2010-01-23,82138,32.8
2010-01-24,82138,33.7
2010-01-25,82138,35.5
2010-01-26,82138,35.6
2010-01-27,82138,35.7
2010-01-28,82138,34.7
2010-01-29,82138,35.5
2010-01-30,82138,37.1
2010-01-31,82138,36.5
2010-02-01,82138,37.8
2010-02-02,82138,34.8
2010-02-03,82138,36.2
2010-02-04,82138,28.6
2010-02-05,82138,27.9
2010-02-06,82138,31.2
2010-02-07,82138,34.1
2010-02-08,82138,34.5
2010-02-09,82138,36.1
2010-02-10,82138,36.2
2010-02-11,82138,35.6
2010-02-12,82138,30.8
2010-02-13,82138,30.3
2010-02-14,82138,30.9
2010-02-15,82138,26.2
2010-02-16,82138,30.2
2010-02-17,82138,31.2
2010-02-18,82138,31.5
2010-02-19,82138,29.9
2010-02-20,82138,33.2
2010-02-21,82138,36.7
2010-02-22,82138,26.7
2010-02-23,82138,25.9
2010-02-24,82138,28.0
2010-02-25,82138,30.7
2010-02-26,82138,30.3
2010-02-27,82138,25.0
2010-02-28,82138,26.7
2010-03-01,82138,26.1
2010-03-02,82138,28.7
2010-03-03,82138,30.9
2010-03-04,82138,28.7
2010-03-05,82138,22.6
2010-03-06,82138,30.0
2010-03-07,82138,25.2
2010-03-08,82138,23.7
2010-03-09,82138,22.0
2010-03-10,82138,21.1
2010-03-11,82138,24.6
2010-03-12,82138,25.9
2010-03-13,82138,25.5
2010-03-14,82138,26.3
2010-03-15,82138,26.8
2010-03-16,82138,29.1
2010-03-17,82138,29.7
2010-03-18,82138,30.4
2010-03-19,82138,29.7
2010-03-20,82138,31.2
2010-03-21,82138,25.3
2010-03-22,82138,25.3
2010-03-23,82138,26.3
2010-03-24,82138,28.0
2010-03-25,82138,28.8
2010-03-26,82138,29.3
2010-03-27,82138,29.5
2010-03-28,82138,29.7
2010-03-29,82138,25.2
2010-03-30,82138,25.4
2010-03-31,82138,25.4
2010-04-01,82138,25.1
2010-04-02,82138,25.0
2010-04-03,82138,24.8
2010-04-04,82138,24.5
2010-04-05,82138,25.0
2010-04-06,82138,23.7
2010-04-07,82138,22.4
2010-04-08,82138,22.5
2010-04-09,82138,20.6
2010-04-10,82138,18.5
2010-04-11,82138,18.2
2010-04-12,82138,18.2
2010-04-13,82138,20.6
2010-04-14,82138,21.1
2010-04-15,82138,22.8
2010-04-16,82138,24.8
2010-04-17,82138,26.1
2010-04-18,82138,25.6
2010-04-19,82138,26.7
2010-04-20,82138,24.4
2010-04-21,82138,26.0
2010-04-22,82138,27.2
2010-04-23,82138,27.8
2010-04-24,82138,19.3
2010-04-25,82138,18.8
2010-04-26,82138,17.6
2010-04-27,82138,17.6
2010-04-28,82138,17.3
2010-04-29,82138,18.4
2010-04-30,82138,19.4
2010-05-01,82138,20.2
2010-05-02,82138,21.1
2010-05-03,82138,22.2
2010-05-04,82138,25.0
2010-05-05,82138,15.6
2010-05-06,82138,14.5
2010-05-07,82138,17.2
2010-05-08,82138,20.0
2010-05-09,82138,20.3
2010-05-10,82138,20.1
2010-05-11,82138,15.4
2010-05-12,82138,15.2
2010-05-13,82138,17.2
2010-05-14,82138,18.5
2010-05-15,82138,17.9
2010-05-16,82138,18.8
2010-05-17,82138,17.6
2010-05-18,82138,19.4
2010-05-19,82138,18.1
2010-05-20,82138,17.7
2010-05-21,82138,17.9
2010-05-22,82138,17.0
2010-05-23,82138,17.4
2010-05-24,82138,16.6
2010-05-25,82138,14.3
2010-05-26,82138,19.9
2010-05-27,82138,15.7
2010-05-28,82138,16.2
2010-05-29,82138,14.2
2010-05-30,82138,18.9
2010-05-31,82138,19.6
2010-06-01,82138,16.4
2010-06-02,82138,18.3
2010-06-03,82138,18.4
2010-06-04,82138,17.6
2010-06-05,82138,14.3
2010-06-06,82138,15.8
2010-06-07,82138,13.9
2010-06-08,82138,11.9
2010-06-09,82138,10.2
2010-06-10,82138,12.4
2010-06-11,82138,13.7
2010-06-12,82138,12.9
2010-06-13,82138,12.8
2010-06-14,82138,13.5
2010-06-15,82138,12.3
2010-06-16,82138,14.2
2010-06-17,82138,14.8
2010-06-18,82138,11.7
2010-06-19,82138,15.3
2010-06-20,82138,13.3
2010-06-21,82138,11.8
2010-06-22,82138,15.7
2010-06-23,82138,16.5
2010-06-24,82138,16.5
2010-06-25,82138,14.3
2010-06-26,82138,12.4
2010-06-27,82138,12.3
2010-06-28,82138,7.3
2010-06-29,82138,10.2
2010-06-30,82138,9.0
2010-07-01,82138,10.5
2010-07-02,82138,12.5
2010-07-03,82138,13.4
2010-07-04,82138,9.2
2010-07-05,82138,12.1
2010-07-06,82138,13.4
2010-07-07,82138,13.5
2010-07-08,82138,14.3
2010-07-09,82138,15.8
2010-07-10,82138,14.2
2010-07-11,82138,14.8
2010-07-12,82138,14.9
2010-07-13,82138,15.1
2010-07-14,82138,10.0
2010-07-15,82138,12.2
2010-07-16,82138,12.3
2010-07-17,82138,10.2
2010-07-18,82138,11.9
2010-07-19,82138,13.0
2010-07-20,82138,12.1
2010-07-21,82138,14.0
2010-07-22,82138,14.0
2010-07-23,82138,15.3
2010-07-24,82138,11.4
2010-07-25,82138,14.2
2010-07-26,82138,14.2
2010-07-27,82138,15.1
2010-07-28,82138,13.6
2010-07-29,82138,14.3
2010-07-30,82138,13.9
2010-07-31,82138,13.8
2010-08-01,82138,10.1
2010-08-02,82138,14.5
2010-08-03,82138,15.2
2010-08-04,82138,10.2
2010-08-05,82138,12.0
2010-08-06,82138,13.2
2010-08-07,82138,12.8
2010-08-08,82138,12.6
2010-08-09,82138,15.2
2010-08-10,82138,11.3
2010-08-11,82138,10.8
2010-08-12,82138,14.2
2010-08-13,82138,15.0
2010-08-14,82138,14.1
2010-08-15,82138,11.8
2010-08-16,82138,12.3
2010-08-17,82138,11.9
2010-08-18,82138,11.3
2010-08-19,82138,14.9
2010-08-20,82138,11.8
2010-08-21,82138,12.3
2010-08-22,82138,14.2
2010-08-23,82138,12.5
2010-08-24,82138,12.0
2010-08-25,82138,10.1
2010-08-26,82138,12.1
2010-08-27,82138,12.8
2010-08-28,82138,14.4
2010-08-29,82138,15.0
2010-08-30,82138,15.3
2010-08-31,82138,12.8
2010-09-01,82138,13.5
2010-09-02,82138,16.6
2010-09-03,82138,17.1
2010-09-04,82138,17.0
2010-09-05,82138,14.6
2010-09-06,82138,13.3
2010-09-07,82138,15.2
2010-09-08,82138,15.8
2010-09-09,82138,14.9
2010-09-10,82138,13.9
2010-09-11,82138,16.1
2010-09-12,82138,15.1
2010-09-13,82138,18.5
2010-09-14,82138,19.1
2010-09-15,82138,14.3
2010-09-16,82138,14.0
2010-09-17,82138,14.0
2010-09-18,82138,14.8
2010-09-19,82138,17.0
2010-09-20,82138,19.2
2010-09-21,82138,20.9
2010-09-22,82138,18.9
2010-09-23,82138,18.5
2010-09-24,82138,18.1
2010-09-25,82138,20.3
2010-09-26,82138,19.8
2010-09-27,82138,18.7
2010-09-28,82138,15.1
2010-09-29,82138,14.4
2010-09-30,82138,14.8
2010-10-01,82138,17.5
2010-10-02,82138,21.9
2010-10-03,82138,23.4
2010-10-04,82138,23.1
2010-10-05,82138,25.1
2010-10-06,82138,23.9
2010-10-07,82138,15.7
2010-10-08,82138,18.0
2010-10-09,82138,20.6
2010-10-10,82138,23.3
2010-10-11,82138,24.2
2010-10-12,82138,19.6
2010-10-13,82138,17.6
2010-10-14,82138,18.4
2010-10-15,82138,15.4
2010-10-16,82138,13.2
2010-10-17,82138,15.5
2010-10-18,82138,17.1
2010-10-19,82138,17.7
2010-10-20,82138,21.9
2010-10-21,82138,24.6
2010-10-22,82138,26.0
2010-10-23,82138,20.6
2010-10-24,82138,21.4
2010-10-25,82138,22.5
2010-10-26,82138,24.1
2010-10-27,82138,21.8
2010-10-28,82138,23.7
2010-10-29,82138,26.4
2010-10-30,82138,19.8
2010-10-31,82138,17.0
2010-11-01,82138,18.3
2010-11-02,82138,20.0
2010-11-03,82138,17.9
2010-11-04,82138,18.9
2010-11-05,82138,21.5
2010-11-06,82138,22.4
2010-11-07,82138,25.5
2010-11-08,82138,25.3
2010-11-09,82138,27.6
2010-11-10,82138,30.0
2010-11-11,82138,30.5
2010-11-12,82138,32.3
2010-11-13,82138,27.8
2010-11-14,82138,24.6
2010-11-15,82138,22.7
2010-11-16,82138,20.8
2010-11-17,82138,23.0
2010-11-18,82138,24.2
2010-11-19,82138,26.0
2010-11-20,82138,27.5
2010-11-21,82138,30.1
2010-11-22,82138,30.7
2010-11-23,82138,29.9
2010-11-24,82138,30.2
2010-11-25,82138,25.2
2010-11-26,82138,23.6
2010-11-27,82138,29.1
2010-11-28,82138,22.2
2010-11-29,82138,23.9
2010-11-30,82138,22.522680979906365
2010-12-01,82138,22.5
2010-12-02,82138,25.4
2010-12-03,82138,29.2
2010-12-04,82138,29.7
2010-12-05,82138,31.8
2010-12-06,82138,30.8
2010-12-07,82138,29.1
2010-12-08,82138,28.5
2010-12-09,82138,26.1
2010-12-10,82138,21.3
2010-12-11,82138,23.2
2010-12-12,82138,21.3
2010-12-13,82138,25.3
2010-12-14,82138,28.4
2010-12-15,82138,29.8
2010-12-16,82138,24.9
2010-12-17,82138,25.0
2010-12-18,82138,21.3
2010-12-19,82138,17.2
2010-12-20,82138,20.2
2010-12-21,82138,21.0
2010-12-22,82138,26.4
2010-12-23,82138,28.2
2010-12-24,82138,30.8
2010-12-25,82138,29.7
2010-12-26,82138,29.4
2010-12-27,82138,20.9
2010-12-28,82138,25.9
2010-12-29,82138,30.8
2010-12-30,82138,33.8
2010-12-31,82138,38.7
2011-01-01,82138,35.7
2011-01-02,82138,30.2
2011-01-03,82138,28.5
2011-01-04,82138,29.8
2011-01-05,82138,29.5
2011-01-06,82138,31.5
2011-01-07,82138,31.3
2011-01-08,82138,32.9
2011-01-09,82138,33.4
2011-01-10,82138,31.8
2011-01-11,82138,27.7
2011-01-12,82138,26.3
2011-01-13,82138,30.6
2011-01-14,82138,23.5
2011-01-15,82138,31.0
2011-01-16,82138,33.7
2011-01-17,82138,25.5
2011-01-18,82138,27.1
2011-01-19,82138,28.5
2011-01-20,82138,31.9
2011-01-21,82138,33.2
2011-01-22,82138,35.1
2011-01-23,82138,32.6
2011-01-24,82138,28.2
2011-01-25,82138,31.3
2011-01-26,82138,33.9
2011-01-27,82138,31.4
2011-01-28,82138,31.7
2011-01-29,82138,32.2
2011-01-30,82138,36.4
2011-01-31,82138,40.5
2011-02-01,82138,39.9
2011-02-02,82138,32.6
2011-02-03,82138,35.4
2011-02-04,82138,27.0
2011-02-05,82138,23.1
2011-02-06,82138,20.7
2011-02-07,82138,25.4
2011-02-08,82138,27.5
2011-02-09,82138,29.1
2011-02-10,82138,30.9
2011-02-11,82138,26.6
2011-02-12,82138,26.5
2011-02-13,82138,27.2
2011-02-14,82138,29.5
2011-02-15,82138,28.4
2011-02-16,82138,24.0
2011-02-17,82138,29.1
2011-02-18,82138,30.5
2011-02-19,82138,27.7
2011-02-20,82138,26.0
2011-02-21,82138,20.6
2011-02-22,82138,25.3
2011-02-23,82138,27.9
2011-02-24,82138,29.7
2011-02-25,82138,30.3
2011-02-26,82138,31.8
2011-02-27,82138,26.0
2011-02-28,82138,29.7
2011-03-01,82138,22.2
2011-03-02,82138,22.8
2011-03-03,82138,22.6
2011-03-04,82138,21.7
2011-03-05,82138,26.0
2011-03-06,82138,25.7
2011-03-07,82138,27.3
2011-03-08,82138,29.7
2011-03-09,82138,27.5
2011-03-10,82138,22.9
2011-03-11,82138,28.2
2011-03-12,82138,29.2
2011-03-13,82138,30.4
2011-03-14,82138,27.4
2011-03-15,82138,27.3
2011-03-16,82138,26.8
2011-03-17,82138,25.4
2011-03-18,82138,26.5
2011-03-19,82138,28.3
2011-03-20,82138,28.5
2011-03-21,82138,26.9
2011-03-22,82138,28.3
2011-03-23,82138,19.3
2011-03-24,82138,22.4
2011-03-25,82138,21.9
2011-03-26,82138,23.7
2011-03-27,82138,24.1
2011-03-28,82138,24.7
2011-03-29,82138,26.2
2011-03-30,82138,27.2
2011-03-31,82138,22.2
2011-04-01,82138,23.9
2011-04-02,82138,21.3
2011-04-03,82138,21.9
2011-04-04,82138,23.0
2011-04-05,82138,24.0
2011-04-06,82138,24.4
2011-04-07,82138,25.1
2011-04-08,82138,24.5
2011-04-09,82138,27.4
2011-04-10,82138,17.1
2011-04-11,82138,13.5
2011-04-12,82138,14.9
2011-04-13,82138,15.6
2011-04-14,82138,17.6
2011-04-15,82138,21.6
2011-04-16,82138,21.4
2011-04-17,82138,20.8
2011-04-18,82138,21.3
2011-04-19,82138,19.5
2011-04-20,82138,18.9
2011-04-21,82138,19.2
2011-04-22,82138,17.7
2011-04-23,82138,18.3
2011-04-24,82138,20.0
2011-04-25,82138,22.2
2011-04-26,82138,24.3
2011-04-27,82138,22.2
2011-04-28,82138,22.5
2011-04-29,82138,21.9
2011-04-30,82138,22.1
2011-05-01,82138,18.8
2011-05-02,82138,20.7
2011-05-03,82138,21.6
2011-05-04,82138,18.3
2011-05-05,82138,18.0
2011-05-06,82138,16.9
2011-05-07,82138,15.6
2011-05-08,82138,16.8
2011-05-09,82138,16.4
2011-05-10,82138,15.3
2011-05-11,82138,12.0
2011-05-12,82138,9.4
2011-05-13,82138,15.1
2011-05-14,82138,13.4
2011-05-15,82138,13.6
2011-05-16,82138,11.7
2011-05-17,82138,15.3
2011-05-18,82138,17.3
2011-05-19,82138,16.7
2011-05-20,82138,19.0
2011-05-21,82138,19.9
2011-05-22,82138,21.8
2011-05-23,82138,15.9
2011-05-24,82138,15.3
2011-05-25,82138,14.9
2011-05-26,82138,13.9
2011-05-27,82138,14.7
2011-05-28,82138,10.5
2011-05-29,82138,15.7
2011-05-30,82138,17.1
2011-05-31,82138,19.8
2011-06-01,82138,20.0
2011-06-02,82138,18.7
2011-06-03,82138,15.8
2011-06-04,82138,15.2
2011-06-05,82138,12.8
2011-06-06,82138,11.7
2011-06-07,82138,10.0
2011-06-08,82138,9.7
2011-06-09,82138,14.4
2011-06-10,82138,14.5
2011-06-11,82138,14.2
2011-06-12,82138,16.2
2011-06-13,82138,15.8
2011-06-14,82138,17.1
2011-06-15,82138,17.5
2011-06-16,82138,15.7
2011-06-17,82138,13.4
2011-06-18,82138,14.8
2011-06-19,82138,12.7
2011-06-20,82138,15.7
2011-06-21,82138,11.3
2011-06-22,82138,11.5
2011-06-23,82138,13.4
2011-06-24,82138,13.2
2011-06-25,82138,12.9
2011-06-26,82138,14.5
2011-06-27,82138,16.0
2011-06-28,82138,16.3
2011-06-29,82138,18.1
2011-06-30,82138,16.4
2011-07-01,82138,15.0
2011-07-02,82138,15.4
2011-07-03,82138,13.8
2011-07-04,82138,13.9
2011-07-05,82138,12.2
2011-07-06,82138,11.3
2011-07-07,82138,11.1
2011-07-08,82138,8.4
2011-07-09,82138,10.0
2011-07-10,82138,11.6
2011-07-11,82138,11.9
2011-07-12,82138,10.7
2011-07-13,82138,11.4
2011-07-14,82138,14.0
2011-07-15,82138,12.3
2011-07-16,82138,15.5
2011-07-17,82138,11.3
2011-07-18,82138,10.9
2011-07-19,82138,15.4
2011-07-20,82138,17.4
2011-07-21,82138,16.9
2011-07-22,82138,16.4
2011-07-23,82138,14.8
2011-07-24,82138,9.2
2011-07-25,82138,11.3
2011-07-26,82138,13.1
2011-07-27,82138,13.6
2011-07-28,82138,13.8
2011-07-29,82138,15.9
2011-07-30,82138,16.6
2011-07-31,82138,16.0
2011-08-01,82138,17.9
2011-08-02,82138,20.1
2011-08-03,82138,21.1
2011-08-04,82138,22.5
2011-08-05,82138,21.2
2011-08-06,82138,14.3
2011-08-07,82138,11.3
2011-08-08,82138,13.1
2011-08-09,82138,9.9
2011-08-10,82138,10.5
2011-08-11,82138,17.3
2011-08-12,82138,16.2
2011-08-13,82138,13.6
2011-08-14,82138,17.2
2011-08-15,82138,13.4
2011-08-16,82138,18.8
2011-08-17,82138,12.8
2011-08-18,82138,10.9
2011-08-19,82138,18.8
2011-08-20,82138,17.4
2011-08-21,82138,17.8
2011-08-22,82138,16.7
2011-08-23,82138,17.2
2011-08-24,82138,16.8
2011-08-25,82138,21.2
2011-08-26,82138,16.4
2011-08-27,82138,15.9
2011-08-28,82138,15.9
2011-08-29,82138,16.3
2011-08-30,82138,15.3
2011-08-31,82138,16.3
2011-09-01,82138,19.1
2011-09-02,82138,19.7
2011-09-03,82138,19.3
2011-09-04,82138,18.8
2011-09-05,82138,21.2
2011-09-06,82138,18.7
2011-09-07,82138,14.6
2011-09-08,82138,15.9
2011-09-09,82138,13.8
2011-09-10,82138,14.9
2011-09-11,82138,15.6
2011-09-12,82138,14.8
2011-09-13,82138,16.8
2011-09-14,82138,20.3
2011-09-15,82138,16.8
2011-09-16,82138,20.3
2011-09-17,82138,22.4
2011-09-18,82138,23.3
2011-09-19,82138,26.8
2011-09-20,82138,14.2
2011-09-21,82138,17.6
2011-09-22,82138,22.8
2011-09-23,82138,17.2
2011-09-24,82138,18.2
2011-09-25,82138,19.9
2011-09-26,82138,19.4
2011-09-27,82138,20.7
2011-09-28,82138,19.5
2011-09-29,82138,12.8
2011-09-30,82138,15.9
2011-10-01,82138,14.8
2011-10-02,82138,18.2
2011-10-03,82138,18.4
2011-10-04,82138,20.2
2011-10-05,82138,18.4
2011-10-06,82138,17.6
2011-10-07,82138,21.9
2011-10-08,82138,21.6
2011-10-09,82138,17.7
2011-10-10,82138,13.3
2011-10-11,82138,16.5
2011-10-12,82138,19.6
2011-10-13,82138,22.3
2011-10-14,82138,24.7
2011-10-15,82138,24.5
2011-10-16,82138,18.1
2011-10-17,82138,20.1
2011-10-18,82138,23.5
2011-10-19,82138,26.9
2011-10-20,82138,28.8
2011-10-21,82138,21.8
2011-10-22,82138,24.3
2011-10-23,82138,30.8
2011-10-24,82138,24.7
2011-10-25,82138,22.0
2011-10-26,82138,24.0
2011-10-27,82138,23.7
2011-10-28,82138,26.5
2011-10-29,82138,24.7
2011-10-30,82138,19.6
2011-10-31,82138,22.4
2011-11-01,82138,24.1
2011-11-02,82138,19.8
2011-11-03,82138,21.1
2011-11-04,82138,26.7
2011-11-05,82138,30.4
2011-11-06,82138,32.9
2011-11-07,82138,30.3
2011-11-08,82138,29.1
2011-11-09,82138,29.0
2011-11-10,82138,23.0
2011-11-11,82138,25.5
2011-11-12,82138,27.1
2011-11-13,82138,29.3
2011-11-14,82138,27.6
2011-11-15,82138,30.0
2011-11-16,82138,21.4
2011-11-17,82138,27.9
2011-11-18,82138,33.0
2011-11-19,82138,26.5
2011-11-20,82138,23.7
2011-11-21,82138,24.3
2011-11-22,82138,23.2
2011-11-23,82138,24.0
2011-11-24,82138,26.8
2011-11-25,82138,19.5
2011-11-26,82138,24.2
2011-11-27,82138,26.0
