fdz_name,fdz_station,fdz_station_longitude,fdz_station_latitude,fdz_state
Central,86068,145.0972,-37.7408,VIC
North Central,88043,143.732,-37.056,VIC
South West,90194,141.2614,-37.9222,VIC
Wimmera,79028,142.2991,-36.6722,VIC
Mallee,77094,143.5416,-35.3766,VIC
Northern Country,88051,144.5203,-37.0194,VIC
North East,82138,146.3056,-36.4205,VIC
East Gippsland,84143,149.0227,-37.3416,VIC
West & South Gippsland,85072,147.1322,-38.1156,VIC
Sydney,66194,151.1134,-33.9057,NSW
North Eastern,59140,152.7187,-30.3444,NSW
Hunter,61250,151.5919,-32.6296,NSW
North Western,52088,148.1223,-30.0372,NSW
Greater Sydney,67113,150.6783,-33.7195,NSW
South Eastern,69022,150.1358,-36.2144,NSW
South Western,72150,147.4575,-35.1583,NSW
Western,65068,148.2428,-33.1281,NSW
Northern,2032,128.2174,-17.0154,WA
Central and Eastern,12038,121.4533,-30.7847,WA
South West Land Division,9215,115.7619,-31.9558,WA
Far Northern,27073,143.1183,-13.7606,QLD
Northern,29127,139.4875,-20.6778,QLD
Central,36031,144.2828,-23.4397,QLD
South Western,44026,145.6822,-28.0689,QLD
Brisbane,40913,153.0389,-27.4808,QLD
South Eastern,40764,153.4283,-27.939,QLD
North Coast,40043,153.4661,-27.0314,QLD
ACT,70339,149.0937,-35.4184,ACT
Southern,94212,147.4258,-42.6867,TAS
North West,91107,145.7311,-40.9964,TAS
Northern,91237,147.1219,-41.4194,TAS
Eyre Peninsula,11019,126.3008,-32.2464,SA
South Eastern,26021,140.7739,-37.7473,SA
Yorke Peninsula,22018,137.3995,-34.9906,SA
Kangaroo Island,22841,137.5231,-35.7114,SA
Mid-north,23122,138.6763,-34.5106,SA
Riverland,24024,140.5978,-34.439,SA
Murray Bridge,24521,139.2592,-35.1234,SA
Mt Lofty Ranges,23343,138.8342,-34.5519,SA
Metropolitan,23013,138.6281,-34.7977,SA
Vernon Arafura,14272,131.0252,-13.0544,NT
Arnhem,14401,133.3797,-11.65,NT
Savanna,15135,134.1833,-19.6423,NT
Barkly,15602,136.1442,-22.9494,NT
Alice Springs,15590,133.889,-23.7951,NT
