Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,90194,2009,01,01,,,
IDCJAC0010,90194,2009,01,02,,,
IDCJAC0010,90194,2009,01,03,,,
IDCJAC0010,90194,2009,01,04,,,
IDCJAC0010,90194,2009,01,05,,,
IDCJAC0010,90194,2009,01,06,,,
IDCJAC0010,90194,2009,01,07,,,
IDCJAC0010,90194,2009,01,08,,,
IDCJAC0010,90194,2009,01,09,,,
IDCJAC0010,90194,2009,01,10,,,
IDCJAC0010,90194,2009,01,11,,,
IDCJAC0010,90194,2009,01,12,,,
IDCJAC0010,90194,2009,01,13,,,
IDCJAC0010,90194,2009,01,14,,,
IDCJAC0010,90194,2009,01,15,,,
IDCJAC0010,90194,2009,01,16,,,
IDCJAC0010,90194,2009,01,17,,,
IDCJAC0010,90194,2009,01,18,,,
IDCJAC0010,90194,2009,01,19,,,
IDCJAC0010,90194,2009,01,20,,,
IDCJAC0010,90194,2009,01,21,,,
IDCJAC0010,90194,2009,01,22,,,
IDCJAC0010,90194,2009,01,23,,,
IDCJAC0010,90194,2009,01,24,,,
IDCJAC0010,90194,2009,01,25,,,
IDCJAC0010,90194,2009,01,26,,,
IDCJAC0010,90194,2009,01,27,,,
IDCJAC0010,90194,2009,01,28,,,
IDCJAC0010,90194,2009,01,29,,,
IDCJAC0010,90194,2009,01,30,,,
IDCJAC0010,90194,2009,01,31,,,
IDCJAC0010,90194,2009,02,01,,,
IDCJAC0010,90194,2009,02,02,,,
IDCJAC0010,90194,2009,02,03,,,
IDCJAC0010,90194,2009,02,04,,,
IDCJAC0010,90194,2009,02,05,,,
IDCJAC0010,90194,2009,02,06,,,
IDCJAC0010,90194,2009,02,07,,,
IDCJAC0010,90194,2009,02,08,,,
IDCJAC0010,90194,2009,02,09,,,
IDCJAC0010,90194,2009,02,10,,,
IDCJAC0010,90194,2009,02,11,,,
IDCJAC0010,90194,2009,02,12,,,
IDCJAC0010,90194,2009,02,13,,,
IDCJAC0010,90194,2009,02,14,,,
IDCJAC0010,90194,2009,02,15,,,
IDCJAC0010,90194,2009,02,16,,,
IDCJAC0010,90194,2009,02,17,,,
IDCJAC0010,90194,2009,02,18,,,
IDCJAC0010,90194,2009,02,19,,,
IDCJAC0010,90194,2009,02,20,,,
IDCJAC0010,90194,2009,02,21,,,
IDCJAC0010,90194,2009,02,22,,,
IDCJAC0010,90194,2009,02,23,,,
IDCJAC0010,90194,2009,02,24,,,
IDCJAC0010,90194,2009,02,25,,,
IDCJAC0010,90194,2009,02,26,,,
IDCJAC0010,90194,2009,02,27,,,
IDCJAC0010,90194,2009,02,28,,,
IDCJAC0010,90194,2009,03,01,,,
IDCJAC0010,90194,2009,03,02,,,
IDCJAC0010,90194,2009,03,03,,,
IDCJAC0010,90194,2009,03,04,,,
IDCJAC0010,90194,2009,03,05,21.7,1,N
IDCJAC0010,90194,2009,03,06,17.6,1,Y
IDCJAC0010,90194,2009,03,07,19.9,1,Y
IDCJAC0010,90194,2009,03,08,20.5,1,Y
IDCJAC0010,90194,2009,03,09,23.9,1,Y
