Date,Location,WindGustSpeed,Humidity3pm
1/12/08,Albury,44,22
2/12/08,Albury,44,25
3/12/08,Albury,46,30
4/12/08,Albury,24,16
5/12/08,Albury,41,33
6/12/08,Albury,56,23
7/12/08,Albury,50,19
8/12/08,Albury,35,19
9/12/08,Albury,80,9
10/12/08,Albury,28,27
11/12/08,Albury,30,22
12/12/08,Albury,31,91
13/12/08,Albury,61,93
14/12/08,Albury,44,43
16/12/08,Albury,50,28
17/12/08,Albury,22,82
18/12/08,Albury,63,65
19/12/08,Albury,43,32
20/12/08,Albury,26,26
21/12/08,Albury,24,28
22/12/08,Albury,43,28
23/12/08,Albury,41,24
24/12/08,Albury,33,23
25/12/08,Albury,43,17
26/12/08,Albury,35,19
27/12/08,Albury,57,28
28/12/08,Albury,48,15
29/12/08,Albury,46,22
30/12/08,Albury,50,70
31/12/08,Albury,39,28
1/1/09,Albury,56,26
2/1/09,Albury,41,22
3/1/09,Albury,26,22
4/1/09,Albury,37,12
5/1/09,Albury,41,9
6/1/09,Albury,52,8
7/1/09,Albury,57,12
8/1/09,Albury,48,15
9/1/09,Albury,37,16
10/1/09,Albury,37,24
11/1/09,Albury,31,31
12/1/09,Albury,35,16
13/1/09,Albury,35,19
14/1/09,Albury,39,8
15/1/09,Albury,44,28
16/1/09,Albury,56,20
17/1/09,Albury,33,16
18/1/09,Albury,28,17
19/1/09,Albury,39,10
20/1/09,Albury,61,21
21/1/09,Albury,61,17
22/1/09,Albury,98,39
23/1/09,Albury,52,28
24/1/09,Albury,54,21
25/1/09,Albury,24,10
26/1/09,Albury,33,12
27/1/09,Albury,31,25
28/1/09,Albury,37,15
29/1/09,Albury,24,13
30/1/09,Albury,28,11
31/1/09,Albury,48,11
1/2/09,Albury,83,9
2/2/09,Albury,56,21
3/2/09,Albury,33,21
4/2/09,Albury,33,26
5/2/09,Albury,35,15
6/2/09,Albury,37,8
7/2/09,Albury,59,11
8/2/09,Albury,52,19
9/2/09,Albury,37,31
10/2/09,Albury,41,30
11/2/09,Albury,46,24
12/2/09,Albury,46,69
13/2/09,Albury,41,21
14/2/09,Albury,39,18
15/2/09,Albury,41,23
16/2/09,Albury,35,22
17/2/09,Albury,31,17
18/2/09,Albury,31,22
19/2/09,Albury,48,16
20/2/09,Albury,41,39
