temp_date,temp_station,temp_max
2010-01-01,77094,34.2
2010-01-02,77094,26
2010-01-03,77094,26.2
2010-01-04,77094,30.6
2010-01-05,77094,36.1
2010-01-06,77094,32.4
2010-01-07,77094,33.7
2010-01-08,77094,37.7
2010-01-09,77094,42.4
2010-01-10,77094,44.5
2010-01-11,77094,43.9
2010-01-12,77094,40.4
2010-01-13,77094,26.7
2010-01-14,77094,29.9
2010-01-15,77094,34.2
2010-01-16,77094,35.6
2010-01-17,77094,26.4
2010-01-18,77094,24.9
2010-01-19,77094,27.8
2010-01-20,77094,35
2010-01-21,77094,35.5
2010-01-22,77094,43.1
2010-01-23,77094,30.6
2010-01-24,77094,33
2010-01-25,77094,35.3
2010-01-26,77094,37.2
2010-01-27,77094,33.6
2010-01-28,77094,34.2
2010-01-29,77094,32.4
2010-01-30,77094,38.1
2010-01-31,77094,39.9
2010-02-01,77094,36.8
2010-02-02,77094,34.4
2010-02-03,77094,34.8
2010-02-04,77094,24.6
2010-02-05,77094,29.9
2010-02-06,77094,31.9
2010-02-07,77094,35.1
2010-02-08,77094,36.7
2010-02-09,77094,36.3
2010-02-10,77094,38.4
2010-02-11,77094,39.8
2010-02-12,77094,31
2010-02-13,77094,29.9
2010-02-14,77094,31.7
2010-02-15,77094,32.4
2010-02-16,77094,32.8
2010-02-17,77094,34.6
2010-02-18,77094,34.2
2010-02-19,77094,33.8
2010-02-20,77094,37.2
2010-02-21,77094,38.7
2010-02-22,77094,30.8
2010-02-23,77094,26.9
2010-02-24,77094,30.5
2010-02-25,77094,33.4
2010-02-26,77094,32.2
2010-02-27,77094,37.3
2010-02-28,77094,27.8
2010-03-01,77094,26.2
2010-03-02,77094,29.3
2010-03-03,77094,31.2
2010-03-04,77094,26
2010-03-05,77094,28.4
2010-03-06,77094,26.2
2010-03-07,77094,17.6
2010-03-08,77094,20.3
2010-03-09,77094,22.3
2010-03-10,77094,20.6
2010-03-11,77094,24.5
2010-03-12,77094,26.2
2010-03-13,77094,27
2010-03-14,77094,27.8
2010-03-15,77094,30
2010-03-16,77094,32.3
2010-03-17,77094,33.9
2010-03-18,77094,33.2
2010-03-19,77094,32.8
2010-03-20,77094,31.3
2010-03-21,77094,27.8
2010-03-22,77094,25.5
2010-03-23,77094,26.8
2010-03-24,77094,28.9
2010-03-25,77094,31.4
2010-03-26,77094,35
2010-03-27,77094,33.5
2010-03-28,77094,31.2
2010-03-29,77094,26.8
2010-03-30,77094,24.5
2010-03-31,77094,25.6
2010-04-01,77094,26.6
2010-04-02,77094,25.4
2010-04-03,77094,23.9
2010-04-04,77094,26.4
2010-04-05,77094,30.3
2010-04-06,77094,27.4
2010-04-07,77094,23.7
2010-04-08,77094,24.2
2010-04-09,77094,19.2
2010-04-10,77094,21.1
2010-04-11,77094,19.7
2010-04-12,77094,18.7
2010-04-13,77094,19.7
2010-04-14,77094,20.1
2010-04-15,77094,21.8
2010-04-16,77094,25.6
2010-04-17,77094,29
2010-04-18,77094,28.7
2010-04-19,77094,27.9
2010-04-20,77094,30.3
2010-04-21,77094,29.4
2010-04-22,77094,29.9
2010-04-23,77094,31
2010-04-24,77094,21.1
2010-04-25,77094,19.9
2010-04-26,77094,21
2010-04-27,77094,22.1
2010-04-28,77094,20.1
2010-04-29,77094,18.5
2010-04-30,77094,18.2
2010-05-01,77094,22.3
2010-05-02,77094,23.9
2010-05-03,77094,25.1
2010-05-04,77094,26.6
2010-05-05,77094,16.6
2010-05-06,77094,19.7
2010-05-07,77094,21.7
2010-05-08,77094,21
2010-05-09,77094,23.2
2010-05-10,77094,23.7
2010-05-11,77094,16.8
2010-05-12,77094,16
2010-05-13,77094,17.5
2010-05-14,77094,18.4
2010-05-15,77094,18.5
2010-05-16,77094,14.7
2010-05-17,77094,17.3
2010-05-18,77094,19.9
2010-05-19,77094,19.8
2010-05-20,77094,19.1
2010-05-21,77094,19
2010-05-22,77094,16.6
2010-05-23,77094,17.5
2010-05-24,77094,14.3
2010-05-25,77094,15.4
2010-05-26,77094,18.8
2010-05-27,77094,18.3
2010-05-28,77094,17.9
2010-05-29,77094,13.5
2010-05-30,77094,19.7
2010-05-31,77094,18.1
2010-06-01,77094,17.8
2010-06-02,77094,17.1
2010-06-03,77094,16.7
2010-06-04,77094,16.3
2010-06-05,77094,15.4
2010-06-06,77094,14.7
2010-06-07,77094,13
2010-06-08,77094,14.2
2010-06-09,77094,14.1
2010-06-10,77094,14.5
2010-06-11,77094,15.2
2010-06-12,77094,14
2010-06-13,77094,11.8
2010-06-14,77094,13.8
2010-06-15,77094,15.8
2010-06-16,77094,17.4
2010-06-17,77094,16.1
2010-06-18,77094,16.1
2010-06-19,77094,16.5
2010-06-20,77094,17.6
2010-06-21,77094,16.4
2010-06-22,77094,11.8
2010-06-23,77094,16.2
2010-06-24,77094,18.1
2010-06-25,77094,14.4
2010-06-26,77094,12.1
2010-06-27,77094,12.8
2010-06-28,77094,12.5
2010-06-29,77094,12.9
2010-06-30,77094,9.1
2010-07-01,77094,10.8
2010-07-02,77094,11.5
2010-07-03,77094,13.3
2010-07-04,77094,13.6
2010-07-05,77094,11.8
2010-07-06,77094,12.6
2010-07-07,77094,15.2
2010-07-08,77094,13.7
2010-07-09,77094,15.8
2010-07-10,77094,12.8
2010-07-11,77094,15.8
2010-07-12,77094,15.7
2010-07-13,77094,13.9
2010-07-14,77094,13.9
2010-07-15,77094,13.3
2010-07-16,77094,13.4
2010-07-17,77094,11.1
2010-07-18,77094,14.6
2010-07-19,77094,12.3
2010-07-20,77094,13.6
2010-07-21,77094,13.8
2010-07-22,77094,14.7
2010-07-23,77094,14.9
2010-07-24,77094,13.6
2010-07-25,77094,14.9
2010-07-26,77094,15.1
2010-07-27,77094,13.8
2010-07-28,77094,10.9
2010-07-29,77094,16.4
2010-07-30,77094,17.7
2010-07-31,77094,15.9
2010-08-01,77094,12.4
2010-08-02,77094,15.5
2010-08-03,77094,13.1
2010-08-04,77094,13.3
2010-08-05,77094,13
2010-08-06,77094,13.4
2010-08-07,77094,13.4
2010-08-08,77094,15.5
2010-08-09,77094,16.5
2010-08-10,77094,13.9
2010-08-11,77094,12.6
2010-08-12,77094,14.8
2010-08-13,77094,14.5
2010-08-14,77094,16.5
2010-08-15,77094,15.9
2010-08-16,77094,13.3
2010-08-17,77094,13.2
2010-08-18,77094,14.3
2010-08-19,77094,15
2010-08-20,77094,14
2010-08-21,77094,15.7
2010-08-22,77094,16.4
2010-08-23,77094,12.9
2010-08-24,77094,15.6
2010-08-25,77094,12.4
2010-08-26,77094,14
2010-08-27,77094,14
2010-08-28,77094,14.8
2010-08-29,77094,14.9
2010-08-30,77094,17.6
2010-08-31,77094,17.9
2010-09-01,77094,16.1
2010-09-02,77094,16.5
2010-09-03,77094,18.4
2010-09-04,77094,18.8
2010-09-05,77094,16.7
2010-09-06,77094,14.5
2010-09-07,77094,15.6
2010-09-08,77094,17.7
2010-09-09,77094,20.6
2010-09-10,77094,16.8
2010-09-11,77094,15.3
2010-09-12,77094,19.1
2010-09-13,77094,20.3
2010-09-14,77094,16.1
2010-09-15,77094,17.1
2010-09-16,77094,14.8
2010-09-17,77094,15.2
2010-09-18,77094,14
2010-09-19,77094,15.3
2010-09-20,77094,18.3
2010-09-21,77094,20
2010-09-22,77094,18.5
2010-09-23,77094,16.8
2010-09-24,77094,18.6
2010-09-25,77094,22.3
2010-09-26,77094,20.3
2010-09-27,77094,22.2
2010-09-28,77094,17.3
2010-09-29,77094,16.4
2010-09-30,77094,17.5
2010-10-01,77094,19.8
2010-10-02,77094,23.1
2010-10-03,77094,25.6
2010-10-04,77094,26.8
2010-10-05,77094,27.6
2010-10-06,77094,23.7
2010-10-07,77094,17.4
2010-10-08,77094,20.6
2010-10-09,77094,21.5
2010-10-10,77094,27.6
2010-10-11,77094,27.4
2010-10-12,77094,28.8
2010-10-13,77094,19.6
2010-10-14,77094,22.7
2010-10-15,77094,14.9
2010-10-16,77094,15.9
2010-10-17,77094,17
2010-10-18,77094,20.1
2010-10-19,77094,20.3
2010-10-20,77094,22.6
2010-10-21,77094,26.3
2010-10-22,77094,30.4
2010-10-23,77094,21.2
2010-10-24,77094,20.7
2010-10-25,77094,23.9
2010-10-26,77094,29.1
2010-10-27,77094,23.3
2010-10-28,77094,25.8
2010-10-29,77094,31.3
2010-10-30,77094,20.1
2010-10-31,77094,17
2010-11-01,77094,18.7
2010-11-02,77094,20.5
2010-11-03,77094,18.6
2010-11-04,77094,18.1
2010-11-05,77094,22.7
2010-11-06,77094,24.8
2010-11-07,77094,30
2010-11-08,77094,26.2
2010-11-09,77094,31
2010-11-10,77094,34.4
2010-11-11,77094,36.8
2010-11-12,77094,37
2010-11-13,77094,21.2
2010-11-14,77094,23
2010-11-15,77094,22.7
2010-11-16,77094,23.1
2010-11-17,77094,25.5
2010-11-18,77094,23.8
2010-11-19,77094,26
2010-11-20,77094,31.2
2010-11-21,77094,33.4
2010-11-22,77094,33.8
2010-11-23,77094,31.4
2010-11-24,77094,33
2010-11-25,77094,29.1
2010-11-26,77094,30.1
2010-11-27,77094,20.3
2010-11-28,77094,18.2
2010-11-29,77094,22.2
2010-11-30,77094,24.5
2010-12-01,77094,28.2
2010-12-02,77094,26.9
2010-12-03,77094,31.6
2010-12-04,77094,33.7
2010-12-05,77094,33.9
2010-12-06,77094,31.3
2010-12-07,77094,28.5
2010-12-08,77094,26.9
2010-12-09,77094,27
2010-12-10,77094,22.8
2010-12-11,77094,25.4
2010-12-12,77094,23.2
2010-12-13,77094,26.6
2010-12-14,77094,29.5
2010-12-15,77094,27.1
2010-12-16,77094,25
2010-12-17,77094,26.7
2010-12-18,77094,23.8
2010-12-19,77094,18.8
2010-12-20,77094,22.9
2010-12-21,77094,23.4
2010-12-22,77094,27.2
2010-12-23,77094,29.1
2010-12-24,77094,31.9
2010-12-25,77094,31.9
2010-12-26,77094,28.1
2010-12-27,77094,23.4
2010-12-28,77094,27.2
2010-12-29,77094,34.4
2010-12-30,77094,36.7
2010-12-31,77094,41.7
2011-01-01,77094,36.4
2011-01-02,77094,30
2011-01-03,77094,28.6
2011-01-04,77094,29.6
2011-01-05,77094,30.2
2011-01-06,77094,33.8
2011-01-07,77094,35.5
2011-01-08,77094,37.6
2011-01-09,77094,24.6
2011-01-10,77094,24.8
2011-01-11,77094,23.9
2011-01-12,77094,29.7
2011-01-13,77094,27.4
2011-01-14,77094,28.6
2011-01-15,77094,31.5
2011-01-16,77094,34.1
2011-01-17,77094,25.2
